1st,1stLabel,1stDay,2nd,2ndLabel,2ndDay,3rd,3rdLabel,3rdDay,4th,4thLabel,4thDay,5th,5thLabel,5thDay,6th,6thLabel,6thDay,7th,7thLabel,7thDay
60,0,1,39,0,0,34,0,0,26,0,1,45,0,1,63,0,1,59,0,1
39,0,0,34,0,0,26,0,1,45,0,1,63,0,1,59,0,1,41,0,1
34,0,0,26,0,1,45,0,1,63,0,1,59,0,1,41,0,1,113,0,0
26,0,1,45,0,1,63,0,1,59,0,1,41,0,1,113,0,0,58,0,0
45,0,1,63,0,1,59,0,1,41,0,1,113,0,0,58,0,0,25,0,1
63,0,1,59,0,1,41,0,1,113,0,0,58,0,0,25,0,1,28,0,1
59,0,1,41,0,1,113,0,0,58,0,0,25,0,1,28,0,1,48,0,1
41,0,1,113,0,0,58,0,0,25,0,1,28,0,1,48,0,1,18,0,1
113,0,0,58,0,0,25,0,1,28,0,1,48,0,1,18,0,1,36,0,1
58,0,0,25,0,1,28,0,1,48,0,1,18,0,1,36,0,1,31,0,0
25,0,1,28,0,1,48,0,1,18,0,1,36,0,1,31,0,0,30,0,0
28,0,1,48,0,1,18,0,1,36,0,1,31,0,0,30,0,0,23,0,1
48,0,1,18,0,1,36,0,1,31,0,0,30,0,0,23,0,1,34,0,1
18,0,1,36,0,1,31,0,0,30,0,0,23,0,1,34,0,1,33,-1,1
36,0,1,31,0,0,30,0,0,23,0,1,34,0,1,33,-1,1,43,0,1
31,0,0,30,0,0,23,0,1,34,0,1,33,-1,1,43,0,1,20,0,1
30,0,0,23,0,1,34,0,1,33,-1,1,43,0,1,20,0,1,43,-1,0
23,0,1,34,0,1,33,-1,1,43,0,1,20,0,1,43,-1,0,36,-1,0
34,0,1,33,-1,1,43,0,1,20,0,1,43,-1,0,36,-1,0,28,0,1
33,-1,1,43,0,1,20,0,1,43,-1,0,36,-1,0,28,0,1,34,0,1
43,0,1,20,0,1,43,-1,0,36,-1,0,28,0,1,34,0,1,54,-1,1
20,0,1,43,-1,0,36,-1,0,28,0,1,34,0,1,54,-1,1,56,0,1
43,-1,0,36,-1,0,28,0,1,34,0,1,54,-1,1,56,0,1,103,-1,1
36,-1,0,28,0,1,34,0,1,54,-1,1,56,0,1,103,-1,1,166,0,0
28,0,1,34,0,1,54,-1,1,56,0,1,103,-1,1,166,0,0,279,-2,0
34,0,1,54,-1,1,56,0,1,103,-1,1,166,0,0,279,-2,0,197,0,0
54,-1,1,56,0,1,103,-1,1,166,0,0,279,-2,0,197,0,0,246,0,1
56,0,1,103,-1,1,166,0,0,279,-2,0,197,0,0,246,0,1,297,0,1
103,-1,1,166,0,0,279,-2,0,197,0,0,246,0,1,297,0,1,288,0,1
166,0,0,279,-2,0,197,0,0,246,0,1,297,0,1,288,0,1,324,0,1
279,-2,0,197,0,0,246,0,1,297,0,1,288,0,1,324,0,1,332,0,0
197,0,0,246,0,1,297,0,1,288,0,1,324,0,1,332,0,0,397,0,0
246,0,1,297,0,1,288,0,1,324,0,1,332,0,0,397,0,0,266,0,1
297,0,1,288,0,1,324,0,1,332,0,0,397,0,0,266,0,1,280,0,1
288,0,1,324,0,1,332,0,0,397,0,0,266,0,1,280,0,1,320,-1,1
324,0,1,332,0,0,397,0,0,266,0,1,280,0,1,320,-1,1,441,0,1
332,0,0,397,0,0,266,0,1,280,0,1,320,-1,1,441,0,1,371,0,1
397,0,0,266,0,1,280,0,1,320,-1,1,441,0,1,371,0,1,323,0,0
266,0,1,280,0,1,320,-1,1,441,0,1,371,0,1,323,0,0,299,0,0
280,0,1,320,-1,1,441,0,1,371,0,1,323,0,0,299,0,0,248,-1,1
320,-1,1,441,0,1,371,0,1,323,0,0,299,0,0,248,-1,1,235,-1,1
441,0,1,371,0,1,323,0,0,299,0,0,248,-1,1,235,-1,1,267,-4,1
371,0,1,323,0,0,299,0,0,248,-1,1,235,-1,1,267,-4,1,195,0,1
323,0,0,299,0,0,248,-1,1,235,-1,1,267,-4,1,195,0,1,198,0,1
299,0,0,248,-1,1,235,-1,1,267,-4,1,195,0,1,198,0,1,168,0,0
248,-1,1,235,-1,1,267,-4,1,195,0,1,198,0,1,168,0,0,167,0,0
235,-1,1,267,-4,1,195,0,1,198,0,1,168,0,0,167,0,0,119,-1,1
267,-4,1,195,0,1,198,0,1,168,0,0,167,0,0,119,-1,1,136,0,1
195,0,1,198,0,1,168,0,0,167,0,0,119,-1,1,136,0,1,156,0,1
198,0,1,168,0,0,167,0,0,119,-1,1,136,0,1,156,0,1,155,0,1
168,0,0,167,0,0,119,-1,1,136,0,1,156,0,1,155,0,1,176,0,1
167,0,0,119,-1,1,136,0,1,156,0,1,155,0,1,176,0,1,136,-1,0
119,-1,1,136,0,1,156,0,1,155,0,1,176,0,1,136,-1,0,121,-1,0
136,0,1,156,0,1,155,0,1,176,0,1,136,-1,0,121,-1,0,109,-2,1
156,0,1,155,0,1,176,0,1,136,-1,0,121,-1,0,109,-2,1,106,0,1
155,0,1,176,0,1,136,-1,0,121,-1,0,109,-2,1,106,0,1,113,0,1
176,0,1,136,-1,0,121,-1,0,109,-2,1,106,0,1,113,0,1,153,0,1
136,-1,0,121,-1,0,109,-2,1,106,0,1,113,0,1,153,0,1,126,0,1
121,-1,0,109,-2,1,106,0,1,113,0,1,153,0,1,126,0,1,110,-1,0
109,-2,1,106,0,1,113,0,1,153,0,1,126,0,1,110,-1,0,82,0,0
106,0,1,113,0,1,153,0,1,126,0,1,110,-1,0,82,0,0,70,0,1
113,0,1,153,0,1,126,0,1,110,-1,0,82,0,0,70,0,1,61,0,1
153,0,1,126,0,1,110,-1,0,82,0,0,70,0,1,61,0,1,110,0,1
126,0,1,110,-1,0,82,0,0,70,0,1,61,0,1,110,0,1,125,-1,1
110,-1,0,82,0,0,70,0,1,61,0,1,110,0,1,125,-1,1,114,-2,1
82,0,0,70,0,1,61,0,1,110,0,1,125,-1,1,114,-2,1,61,-1,0
70,0,1,61,0,1,110,0,1,125,-1,1,114,-2,1,61,-1,0,95,-1,0
61,0,1,110,0,1,125,-1,1,114,-2,1,61,-1,0,95,-1,0,50,0,1
110,0,1,125,-1,1,114,-2,1,61,-1,0,95,-1,0,50,0,1,38,0,1
125,-1,1,114,-2,1,61,-1,0,95,-1,0,50,0,1,38,0,1,113,0,0
114,-2,1,61,-1,0,95,-1,0,50,0,1,38,0,1,113,0,0,77,-1,0
61,-1,0,95,-1,0,50,0,1,38,0,1,113,0,0,77,-1,0,63,0,0
95,-1,0,50,0,1,38,0,1,113,0,0,77,-1,0,63,0,0,75,0,0
50,0,1,38,0,1,113,0,0,77,-1,0,63,0,0,75,0,0,64,-2,0
38,0,1,113,0,0,77,-1,0,63,0,0,75,0,0,64,-2,0,73,0,1
113,0,0,77,-1,0,63,0,0,75,0,0,64,-2,0,73,0,1,75,-1,1
77,-1,0,63,0,0,75,0,0,64,-2,0,73,0,1,75,-1,1,114,2,1
63,0,0,75,0,0,64,-2,0,73,0,1,75,-1,1,114,2,1,69,0,1
75,0,0,64,-2,0,73,0,1,75,-1,1,114,2,1,69,0,1,54,2,0
64,-2,0,73,0,1,75,-1,1,114,2,1,69,0,1,54,2,0,72,0,0
73,0,1,75,-1,1,114,2,1,69,0,1,54,2,0,72,0,0,58,0,0
75,-1,1,114,2,1,69,0,1,54,2,0,72,0,0,58,0,0,97,0,1
114,2,1,69,0,1,54,2,0,72,0,0,58,0,0,97,0,1,102,0,1
69,0,1,54,2,0,72,0,0,58,0,0,97,0,1,102,0,1,84,0,1
54,2,0,72,0,0,58,0,0,97,0,1,102,0,1,84,0,1,99,0,1
72,0,0,58,0,0,97,0,1,102,0,1,84,0,1,99,0,1,47,0,1
58,0,0,97,0,1,102,0,1,84,0,1,99,0,1,47,0,1,73,0,0
97,0,1,102,0,1,84,0,1,99,0,1,47,0,1,73,0,0,91,0,0
102,0,1,84,0,1,99,0,1,47,0,1,73,0,0,91,0,0,76,0,1
84,0,1,99,0,1,47,0,1,73,0,0,91,0,0,76,0,1,58,0,1
99,0,1,47,0,1,73,0,0,91,0,0,76,0,1,58,0,1,91,0,1
47,0,1,73,0,0,91,0,0,76,0,1,58,0,1,91,0,1,119,0,1
73,0,0,91,0,0,76,0,1,58,0,1,91,0,1,119,0,1,155,0,1
91,0,0,76,0,1,58,0,1,91,0,1,119,0,1,155,0,1,77,0,0
76,0,1,58,0,1,91,0,1,119,0,1,155,0,1,77,0,0,61,0,0
58,0,1,91,0,1,119,0,1,155,0,1,77,0,0,61,0,0,119,1,1
91,0,1,119,0,1,155,0,1,77,0,0,61,0,0,119,1,1,88,-1,1
119,0,1,155,0,1,77,0,0,61,0,0,119,1,1,88,-1,1,103,0,1
155,0,1,77,0,0,61,0,0,119,1,1,88,-1,1,103,0,1,125,0,1
77,0,0,61,0,0,119,1,1,88,-1,1,103,0,1,125,0,1,114,0,1
61,0,0,119,1,1,88,-1,1,103,0,1,125,0,1,114,0,1,126,0,0
119,1,1,88,-1,1,103,0,1,125,0,1,114,0,1,126,0,0,124,0,0
88,-1,1,103,0,1,125,0,1,114,0,1,126,0,0,124,0,0,97,-1,1
103,0,1,125,0,1,114,0,1,126,0,0,124,0,0,97,-1,1,75,0,1
125,0,1,114,0,1,126,0,0,124,0,0,97,-1,1,75,0,1,118,0,1
114,0,1,126,0,0,124,0,0,97,-1,1,75,0,1,118,0,1,125,-1,1
126,0,0,124,0,0,97,-1,1,75,0,1,118,0,1,125,-1,1,145,0,1
124,0,0,97,-1,1,75,0,1,118,0,1,125,-1,1,145,0,1,89,0,0
97,-1,1,75,0,1,118,0,1,125,-1,1,145,0,1,89,0,0,143,0,0
75,0,1,118,0,1,125,-1,1,145,0,1,89,0,0,143,0,0,126,-2,1
118,0,1,125,-1,1,145,0,1,89,0,0,143,0,0,126,-2,1,100,-1,1
125,-1,1,145,0,1,89,0,0,143,0,0,126,-2,1,100,-1,1,146,0,1
145,0,1,89,0,0,143,0,0,126,-2,1,100,-1,1,146,0,1,143,0,1
89,0,0,143,0,0,126,-2,1,100,-1,1,146,0,1,143,0,1,191,0,1
143,0,0,126,-2,1,100,-1,1,146,0,1,143,0,1,191,0,1,205,-1,0
126,-2,1,100,-1,1,146,0,1,143,0,1,191,0,1,205,-1,0,208,0,0
100,-1,1,146,0,1,143,0,1,191,0,1,205,-1,0,208,0,0,223,0,1
146,0,1,143,0,1,191,0,1,205,-1,0,208,0,0,223,0,1,229,0,1
143,0,1,191,0,1,205,-1,0,208,0,0,223,0,1,229,0,1,313,-1,1
191,0,1,205,-1,0,208,0,0,223,0,1,229,0,1,313,-1,1,343,-1,1
205,-1,0,208,0,0,223,0,1,229,0,1,313,-1,1,343,-1,1,363,0,1
208,0,0,223,0,1,229,0,1,313,-1,1,343,-1,1,363,0,1,386,2,0
223,0,1,229,0,1,313,-1,1,343,-1,1,363,0,1,386,2,0,330,1,0
229,0,1,313,-1,1,343,-1,1,363,0,1,386,2,0,330,1,0,271,-1,1
313,-1,1,343,-1,1,363,0,1,386,2,0,330,1,0,271,-1,1,349,2,1
343,-1,1,363,0,1,386,2,0,330,1,0,271,-1,1,349,2,1,382,0,1
363,0,1,386,2,0,330,1,0,271,-1,1,349,2,1,382,0,1,583,-1,1
386,2,0,330,1,0,271,-1,1,349,2,1,382,0,1,583,-1,1,569,0,1
330,1,0,271,-1,1,349,2,1,382,0,1,583,-1,1,569,0,1,488,0,0
271,-1,1,349,2,1,382,0,1,583,-1,1,569,0,1,488,0,0,449,0,0
349,2,1,382,0,1,583,-1,1,569,0,1,488,0,0,449,0,0,377,-1,1
382,0,1,583,-1,1,569,0,1,488,0,0,449,0,0,377,-1,1,451,0,1
583,-1,1,569,0,1,488,0,0,449,0,0,377,-1,1,451,0,1,511,0,1
569,0,1,488,0,0,449,0,0,377,-1,1,451,0,1,511,0,1,540,0,1
488,0,0,449,0,0,377,-1,1,451,0,1,511,0,1,540,0,1,629,0,1
449,0,0,377,-1,1,451,0,1,511,0,1,540,0,1,629,0,1,583,0,0
377,-1,1,451,0,1,511,0,1,540,0,1,629,0,1,583,0,0,631,-1,0
451,0,1,511,0,1,540,0,1,629,0,1,583,0,0,631,-1,0,615,0,1
511,0,1,540,0,1,629,0,1,583,0,0,631,-1,0,615,0,1,594,-2,1
540,0,1,629,0,1,583,0,0,631,-1,0,615,0,1,594,-2,1,677,0,1
629,0,1,583,0,0,631,-1,0,615,0,1,594,-2,1,677,0,1,666,0,1
583,0,0,631,-1,0,615,0,1,594,-2,1,677,0,1,666,0,1,688,0,1
631,-1,0,615,0,1,594,-2,1,677,0,1,666,0,1,688,0,1,950,0,0
615,0,1,594,-2,1,677,0,1,666,0,1,688,0,1,950,0,0,1030,-2,0
594,-2,1,677,0,1,666,0,1,688,0,1,950,0,0,1030,-2,0,718,1,1
677,0,1,666,0,1,688,0,1,950,0,0,1030,-2,0,718,1,1,880,0,1
666,0,1,688,0,1,950,0,0,1030,-2,0,718,1,1,880,0,1,1078,1,1
688,0,1,950,0,0,1030,-2,0,718,1,1,880,0,1,1078,1,1,1011,0,1
950,0,0,1030,-2,0,718,1,1,880,0,1,1078,1,1,1011,0,1,1062,0,1
1030,-2,0,718,1,1,880,0,1,1078,1,1,1011,0,1,1062,0,1,1055,0,0
718,1,1,880,0,1,1078,1,1,1011,0,1,1062,0,1,1055,0,0,1095,-1,0
880,0,1,1078,1,1,1011,0,1,1062,0,1,1055,0,0,1095,-1,0,926,0,1
1078,1,1,1011,0,1,1062,0,1,1055,0,0,1095,-1,0,926,0,1,869,0,1
1011,0,1,1062,0,1,1055,0,0,1095,-1,0,926,0,1,869,0,1,1090,0,1
1062,0,1,1055,0,0,1095,-1,0,926,0,1,869,0,1,1090,0,1,983,0,1
1055,0,0,1095,-1,0,926,0,1,869,0,1,1090,0,1,983,0,1,1237,0,0
1095,-1,0,926,0,1,869,0,1,1090,0,1,983,0,1,1237,0,0,1132,0,0
926,0,1,869,0,1,1090,0,1,983,0,1,1237,0,0,1132,0,0,970,0,0
869,0,1,1090,0,1,983,0,1,1237,0,0,1132,0,0,970,0,0,808,0,1
1090,0,1,983,0,1,1237,0,0,1132,0,0,970,0,0,808,0,1,1045,0,1
983,0,1,1237,0,0,1132,0,0,970,0,0,808,0,1,1045,0,1,1048,-2,1
1237,0,0,1132,0,0,970,0,0,808,0,1,1045,0,1,1048,-2,1,967,0,1
